Modelo,Versão_Mod,Versão_Amost,Acuracia,Precisão,Sensibilidade,Especificidade,Gastos,Receita,Lucro,Margem_Lucro,Lucro_Potencial
Logistic,1,5,0.894345238095238,0.658227848101266,0.541666666666667,0.953125,2.4687500000000004,5.958333333333337,3.489583333333336,0.5856643356643358,0.436197916666667
Logistic,1,3,0.885416666666667,0.675,0.514285714285714,0.954144620811287,2.2857142857142843,5.657142857142854,3.3714285714285697,0.595959595959596,0.4214285714285712
Logistic,1,1,0.891369047619048,0.623376623376623,0.521739130434783,0.95,2.5108695652173947,5.739130434782614,3.228260869565219,0.5624999999999998,0.4035326086956524
Random Forest,3,1,0.892857142857143,0.678571428571429,0.41304347826087,0.968965517241379,1.82608695652174,4.54347826086957,2.7173913043478297,0.5980861244019141,0.3396739130434787
Bagging Tree,1,3,0.866071428571429,0.592592592592593,0.457142857142857,0.941798941798942,2.3142857142857123,5.028571428571428,2.7142857142857153,0.5397727272727276,0.3392857142857144
Lasso,1,1,0.904761904761905,0.868421052631579,0.358695652173913,0.991379310344828,1.2391304347826084,3.9456521739130435,2.706521739130435,0.6859504132231405,0.3383152173913044
Random Forest,3,3,0.879464285714286,0.7,0.4,0.968253968253968,1.7142857142857144,4.4,2.685714285714286,0.6103896103896104,0.33571428571428574
Logistic,1,6,0.885416666666667,0.65,0.410526315789474,0.963604852686308,1.8947368421052646,4.515789473684214,2.6210526315789497,0.5804195804195804,0.3276315789473687
Bagging Tree,1,1,0.885416666666667,0.619047619047619,0.423913043478261,0.958620689655172,2.0543478260869574,4.663043478260871,2.6086956521739135,0.5594405594405594,0.3260869565217392
Naive Bayes,1,5,0.84375,0.460869565217391,0.552083333333333,0.892361111111111,3.593750000000001,6.072916666666663,2.4791666666666625,0.40823327615780397,0.3098958333333328
Naive Bayes,2,5,0.84375,0.460869565217391,0.552083333333333,0.892361111111111,3.593750000000001,6.072916666666663,2.4791666666666625,0.40823327615780397,0.3098958333333328
Bagging Tree,1,4,0.886904761904762,0.590163934426229,0.413793103448276,0.957264957264957,2.103448275862071,4.5517241379310365,2.4482758620689653,0.5378787878787876,0.30603448275862066
Bagging Tree,1,6,0.880952380952381,0.627118644067797,0.38947368421052603,0.961871750433276,1.8631578947368395,4.284210526315786,2.421052631578947,0.5651105651105655,0.30263157894736836
Random Forest,1,6,0.886904761904762,0.693877551020408,0.357894736842105,0.974003466204506,1.5473684210526306,3.936842105263155,2.3894736842105244,0.606951871657754,0.29868421052631555
Random Forest,1,1,0.889880952380952,0.6875,0.358695652173913,0.974137931034483,1.5652173913043477,3.9456521739130435,2.380434782608696,0.6033057851239669,0.297554347826087
Random Forest,1,5,0.888392857142857,0.733333333333333,0.34375,0.979166666666667,1.4062500000000007,3.78125,2.374999999999999,0.6280991735537188,0.2968749999999999
Naive Bayes,1,1,0.84672619047619,0.45045045045045,0.543478260869565,0.894827586206897,3.6195652173913064,5.978260869565215,2.3586956521739086,0.394545454545454,0.2948369565217386
Naive Bayes,2,1,0.84672619047619,0.45045045045045,0.543478260869565,0.894827586206897,3.6195652173913064,5.978260869565215,2.3586956521739086,0.394545454545454,0.2948369565217386
Bagging Tree,1,5,0.879464285714286,0.631578947368421,0.375,0.963541666666667,1.78125,4.125,2.34375,0.5681818181818182,0.29296875
nvb_h20,1,6,0.827380952380952,0.421052631578947,0.589473684210526,0.866551126516464,4.200000000000002,6.4842105263157865,2.2842105263157846,0.3522727272727267,0.2855263157894731
Bagging Tree,1,2,0.879464285714286,0.62962962962963,0.357894736842105,0.965337954939341,1.7052631578947346,3.936842105263155,2.2315789473684204,0.5668449197860965,0.27894736842105256
Random Forest,2,1,0.885416666666667,0.659574468085106,0.33695652173913,0.972413793103448,1.5326086956521727,3.7065217391304297,2.173913043478257,0.5865102639296186,0.27173913043478215
Random Forest,2,3,0.87202380952381,0.693877551020408,0.323809523809524,0.973544973544973,1.400000000000001,3.561904761904764,2.161904761904763,0.606951871657754,0.2702380952380954
nvb_h20,1,5,0.80952380952381,0.393333333333333,0.614583333333333,0.842013888888889,4.687500000000002,6.760416666666663,2.0729166666666616,0.3066255778120179,0.2591145833333327
Logistic,1,4,0.885416666666667,0.6,0.344827586206897,0.965811965811966,1.7241379310344853,3.7931034482758674,2.068965517241382,0.5454545454545454,0.25862068965517276
Random Forest,3,6,0.882440476190476,0.69047619047619,0.305263157894737,0.977469670710572,1.326315789473686,3.3578947368421073,2.0315789473684216,0.605015673981191,0.2539473684210527
Random Forest,1,3,0.867559523809524,0.66,0.314285714285714,0.970017636684303,1.428571428571427,3.457142857142854,2.028571428571427,0.5867768595041323,0.2535714285714284
Random Forest,3,5,0.883928571428571,0.736842105263158,0.291666666666667,0.982638888888889,1.1875000000000013,3.208333333333337,2.0208333333333357,0.6298701298701299,0.25260416666666696
Random Forest,2,5,0.882440476190476,0.717948717948718,0.291666666666667,0.980902777777778,1.2187500000000016,3.208333333333337,1.9895833333333355,0.6201298701298701,0.24869791666666693
nvb_h20,1,1,0.819940476190476,0.394160583941606,0.58695652173913,0.856896551724138,4.467391304347821,6.45652173913043,1.9891304347826093,0.3080808080808084,0.24864130434782616
tree,1,5,0.879464285714286,0.674418604651163,0.302083333333333,0.975694444444444,1.343749999999998,3.322916666666663,1.979166666666665,0.5956112852664578,0.24739583333333312
tree,1,1,0.883928571428571,0.666666666666667,0.304347826086957,0.975862068965517,1.3695652173913058,3.347826086956527,1.978260869565221,0.5909090909090912,0.24728260869565263
Random Forest,1,4,0.892857142857143,0.714285714285714,0.28735632183908,0.982905982905983,1.2068965517241366,3.16091954022988,1.9540229885057436,0.618181818181818,0.24425287356321795
Random Forest,2,4,0.892857142857143,0.714285714285714,0.28735632183908,0.982905982905983,1.2068965517241366,3.16091954022988,1.9540229885057436,0.618181818181818,0.24425287356321795
Logistic,1,2,0.863095238095238,0.522388059701492,0.368421052631579,0.944540727902946,2.1157894736842127,4.052631578947369,1.9368421052631564,0.47792207792207747,0.24210526315789455
Lasso,1,5,0.883928571428571,0.8,0.25,0.989583333333333,0.9375,2.75,1.8125,0.6590909090909091,0.2265625
Random Forest,1,2,0.873511904761905,0.613636363636364,0.284210526315789,0.97053726169844,1.3894736842105233,3.1263157894736793,1.736842105263156,0.5555555555555558,0.2171052631578945
Naive Bayes,1,6,0.828869047619048,0.407407407407407,0.463157894736842,0.889081455805893,3.4105263157894763,5.094736842105262,1.6842105263157858,0.33057851239669356,0.21052631578947323
Naive Bayes,2,6,0.828869047619048,0.405660377358491,0.452631578947368,0.890814558058926,3.347368421052625,4.978947368421048,1.631578947368423,0.3276955602537005,0.20394736842105288
Random Forest,2,6,0.87797619047619,0.696969696969697,0.242105263157895,0.982668977469671,1.0421052631578958,2.663157894736845,1.6210526315789493,0.6086956521739131,0.20263157894736866
Lasso,1,6,0.883928571428571,0.869565217391304,0.210526315789474,0.994800693240901,0.7263157894736856,2.315789473684214,1.5894736842105286,0.6863636363636363,0.19868421052631607
Lasso,1,3,0.867559523809524,0.785714285714286,0.20952380952381,0.989417989417989,0.8000000000000015,2.30476190476191,1.5047619047619083,0.6528925619834711,0.18809523809523854
Random Forest,2,2,0.873511904761905,0.647058823529412,0.231578947368421,0.979202772963605,1.0736842105263151,2.547368421052631,1.473684210526316,0.5785123966942151,0.1842105263157895
Naive Bayes,2,2,0.791666666666667,0.352941176470588,0.568421052631579,0.82842287694974,4.831578947368426,6.252631578947369,1.4210526315789433,0.2272727272727266,0.17763157894736792
nvb_h20,1,2,0.805059523809524,0.363636363636364,0.505263157894737,0.854419410745234,4.168421052631576,5.5578947368421066,1.3894736842105306,0.2500000000000007,0.17368421052631633
tree,1,6,0.867559523809524,0.578947368421053,0.231578947368421,0.972270363951473,1.1999999999999988,2.547368421052631,1.3473684210526322,0.5289256198347111,0.16842105263157903
Random Forest,3,4,0.882440476190476,0.642857142857143,0.206896551724138,0.982905982905983,0.9655172413793105,2.2758620689655182,1.3103448275862077,0.5757575757575759,0.16379310344827597
Naive Bayes,1,3,0.769345238095238,0.347560975609756,0.542857142857143,0.811287477954145,4.685714285714289,5.971428571428573,1.2857142857142847,0.21531100478468876,0.1607142857142856
nvb_h20,1,3,0.748511904761905,0.333333333333333,0.60952380952381,0.774250440917108,5.485714285714296,6.70476190476191,1.2190476190476138,0.18181818181818088,0.15238095238095173
nvb_h20,1,4,0.796130952380952,0.333333333333333,0.574712643678161,0.829059829059829,5.172413793103455,6.321839080459771,1.1494252873563164,0.18181818181818094,0.14367816091953955
Random Forest,3,2,0.867559523809524,0.607142857142857,0.178947368421053,0.980935875216638,0.8842105263157916,1.9684210526315828,1.0842105263157913,0.550802139037433,0.1355263157894739
Naive Bayes,1,2,0.767857142857143,0.321637426900585,0.578947368421053,0.79896013864818,5.4,6.368421052631583,0.9684210526315828,0.15206611570247985,0.12105263157894786
Naive Bayes,1,4,0.766369047619048,0.309782608695652,0.655172413793103,0.782905982905983,6.344827586206895,7.206896551724133,0.8620689655172376,0.11961722488038233,0.1077586206896547
KNN,1,4,0.87797619047619,0.647058823529412,0.126436781609195,0.98974358974359,0.586206896551722,1.390804597701145,0.804597701149423,0.5785123966942151,0.10057471264367787
tree,1,2,0.860119047619048,0.518518518518518,0.147368421052632,0.977469670710572,0.8526315789473717,1.6210526315789522,0.7684210526315804,0.4740259740259735,0.09605263157894756
KNN,1,5,0.867559523809524,0.714285714285714,0.105263157894737,0.993067590987868,0.4421052631578956,1.157894736842107,0.7157894736842114,0.6181818181818179,0.08947368421052643
KNN,1,3,0.851190476190476,0.631578947368421,0.114285714285714,0.987654320987654,0.5428571428571415,1.257142857142854,0.7142857142857125,0.5681818181818182,0.08928571428571407
KNN,1,3,0.851190476190476,0.631578947368421,0.114285714285714,0.987654320987654,0.5428571428571415,1.257142857142854,0.7142857142857125,0.5681818181818182,0.08928571428571407
KNN,1,2,0.866071428571429,0.692307692307692,0.0947368421052632,0.993067590987868,0.41052631578947407,1.0421052631578953,0.6315789473684212,0.6060606060606059,0.07894736842105265
KNN,1,5,0.858630952380952,0.523809523809524,0.114583333333333,0.982638888888889,0.6562499999999979,1.260416666666663,0.6041666666666651,0.47933884297520674,0.07552083333333313
KNN,1,1,0.864583333333333,0.533333333333333,0.0869565217391304,0.987931034482759,0.48913043478260887,0.9565217391304345,0.4673913043478256,0.4886363636363633,0.0584239130434782
Lasso,1,2,0.864583333333333,0.75,0.0631578947368421,0.996533795493934,0.2526315789473684,0.694736842105263,0.4421052631578946,0.6363636363636364,0.05526315789473683
Lasso,1,4,0.869047619047619,0.333333333333333,0.0114942528735632,0.996581196581197,0.1034482758620689,0.1264367816091952,0.022988505747126298,0.18181818181818102,0.002873563218390787
